book_id,book_title,category_id,author,book_copies,book_pub,publisher_name,isbn,copyright_year,date_receive,date_added,status,class,pages,p_price,nbook_issued,nlost,ndamage,bill_date
22,Impression,,Mrs. R.Jaya,,,Scholar Publishing House,,1991,,,,491.431,60,15,,,,08-10-1992
23,Reflections book II,,Meeta Rai,,,Frank Bros. & Company Pvt. Chandni Chowk,,1985,,,,491.431,29,9.5,,,,08-10-1992
24,Reflections,,Benjamin Fernandes,,,Frank Bros. & Company Pvt. Chandni Chowk,,1987,,,,491.431,52,7.5,,,,08-10-1992
25,Reflections,,Benjamin Fernandes,,,Frank Bros. & Company Pvt. Chandni Chowk,,1987,,,,491.431,43,7.5,,,,08-10-1992
26,Reflections,,Benjamin Fernandes,,,"Frank Bros. & Company DaryaGanj,Delhi",,1987,,,,491.431,43,7.25,,,,08-10-1992
27,Reflections,,Benjamin Fernandes,,,"Frank Bros. & Company DaryaGanj,Delhi",,1987,,,,491.431,48,7.5,,,,08-10-1992
28,Reflections,,Benjamin Fernandes,,,"Frank Bros. & Company Darya Ganj,Delhi",,1987,,,,491.431,48,7.9,,,,08-10-1992
29,Reading for Pleasure,,K.C. Singh,,,"B.M. Karley,Inter University Press Ltd.",,1990,,,,491.431,56,8.5,,,,08-10-1992
30,Gul Mohar Graded Eng. Course Practice Book,,V. Shashi Kumar,,,Orient Longman Ltd. ,,1985,,,,491.431,100,15,,,,08-10-1992
31,Gul Mohar Reader,,Jaya Shashi Kumar,,,Orient Longman Ltd. ,,1976,,,,491.431,84,16.5,,,,08-10-1992
32,Tell Me More-V,,RSM Publisher,,,"Ratna Sagar Mukherjee Nagar,Delhi",,1985,,,,1,64,7.9,,,,08-10-1992
33,New Horizons Workbook,,N.K. Aggarwal,,,"S.G. Wasani for Macmillian India Limited,Madras",,1971,,,,491.431,48,14.25,,,,08-10-1992
34,New Horizons Workbook,,N.K. Aggarwal,,,"S.G. Wasani for Macmillian India Limited,Madras",,1971,,,,491.431,48,14.25,,,,08-10-1992
35,New Horizons Workbook,,David Green,,,"S.G. Wasani for Macmillian India Limited,Madras",,1972,,,,491.431,68,18.75,,,,08-10-1992
36,General Knowledge,,G. VAZ,,,"Frank Bros. & Company Darya Ganj,Delhi",,1986,,,,1,83,9,,,,08-10-1992
37,Joy of Knowledge,,HFI Publisher,,,Holy Faith International Pvt. Ltd. Delhi,,,,,,1,76,13.9,,,,08-10-1992
38,General Knowledge & Intellectual Test,,J.P. Gupta,,,"Deepu Prakashan,Delhi",,,,,,1,48,5,,,,08-10-1992
39,General Knowledge & Intellectual Test,,J.P. Gupta,,,"Deepu Prakashan,Delhi",,,,,,1,72,7.5,,,,08-10-1992
40,Reflection,,D. KAPLASH,,,Frank Bros. & Company,,1986,,,,491.431,39,10.5,,,,08-10-1992
41,Reflection,,D. KAPLASH,,,Frank Bros. & Company,,1986,,,,491.431,39,10,,,,08-10-1992
42,Reflection,,D. KAPLASH,,,Frank Bros. & Company,,1986,,,,491.431,38,10.5,,,,08-10-1992
43,General Knowledge & Intellectual Test,,J.P. Gupta,,,"Deepu Prakashan,Delhi",,,,,,1,40,4,,,,08-10-1992
44,General Knowledge,,PEARL SCOTT,,,Frank Bros. & Company,,1977,,,,1,95,9,,,,08-10-1992
45,Steps to General Knowledge,,PEARL SCOTT,,,Frank Bros. & Company,,1977,,,,1,90,7.5,,,,08-10-1992
46,Steps to General Knowledge,,PEARL SCOTT,,,Frank Bros. & Company,,1977,,,,1,90,7.5,,,,08-10-1992
47,Reading for Pleasure,,K.C. Singh,,,B.M. Kelly Mans Dr. Inter University Press,,1987,,,,491.431,96,9.5,,,,08-10-1992
48,Reading for Pleasure,,K.C. Singh,,,B.M. Kelly Mans Dr. Inter University Press,,1990,,,,491.431,116,12.5,,,,08-10-1992
49,Reading for Pleasure,,K.C. Singh,,,B.M. Kelly Mans Dr. Inter University Press,,1988,,,,491.431,160,15.5,,,,08-10-1992
50,The Story Teller,,Pratibha Nath,,,"Frank Bros. & Company,Delhi",,1987,,,,491.431,66,10.5,,,,08-10-1992
51,Onward English,,JEYA RAJ,,,Orient Longman Ltd. ,,1987,,,,491.431,186,19,,,,08-10-1992
52,Tales from the Arabian Nights,,S.E. Paces,,,"Chand & Com. Pvt. Ltd. Ram Nagar,Delhi",,,,,,491.433,98,6,,,,08-10-1992
53,Great Expectations,,Charles Dickens,,,Orient Longman Ltd.,,1977,,,,491.433,159,8.5,,,,08-10-1992
54,Pride and Prejudice,,Jane Austin,,,Priya Adarkar Orient Longman Ltd.,,1978,,,,491.433,159,9,,,,08-10-1992
55,Tom Brown's School Days,,Thomas Hughes,,,"Orient Longman Ltd. Anna Salai,Madras",,1974,,,,491.433,116,7,,,,08-10-1992
56,Sherlock Holmes & the jewel & other Short Play,,M. Choksi,,,"Orient Longman Ltd. Asaf Ali Road,Delhi",,1983,,,,491.433,158,10,,,,08-10-1992
57,The Count of Monti Cristo,,Alexandre Dumas,,,"Orient Longman Ltd. Asaf Ali Road,Delhi",,1975,,,,491.433,109,7.5,,,,08-10-1992
58,Pride and Prejudice,,Jane Austin,,,"Orient Longman Ltd. Anna Salai,Madras",,1975,,,,491.433,159,8,,,,08-10-1992
59,Treasure Island,,Robert Louis,,,"Orient Longman Ltd. Anna Salai,Madras",,1977,,,,491.433,125,8,,,,08-10-1992
60,The Prince and the Pauper V,,Mark Twain,,,"Orient Longman Ltd. Anna Salai,Madras",,1973,,,,491.433,78,9.5,,,,08-10-1992
61,Four Stories from Shekespeare,,Raja Ram Rao,,,"Orient Longman Ltd. Asaf Ali Road,Delhi",,1979,,,,491.433,96,11,,,,08-10-1992
62,Sories from East & West,,R.L. Bhatia,,,"Arya Book Depot.,Delhi",,1986,,,,491.433,60,5.5,,,,08-10-1992
63,The Prince and the Pauper ,,Mark Twain,,,"Orient Longman Ltd. Anna Salai,Madras",,1973,,,,491.433,78,6,,,,08-10-1992
64,Ripvan Winkle and The Legend of Steepy Hollows,,K. Mulgaokar,,,"Orient Longman Ltd. Asaf Ali Road,Delhi",,1973,,,,491.433,46,6,,,,08-10-1992
65,The Prince and the Pauper II+III,,Mark Twain,,,"Orient Longman Ltd. Anna Salai,Madras",,1973,,,,491.433,78,6,,,,08-10-1992
66,Treasure Island,,Robert Louis,,,"Orient Longman Ltd. Anna Salai,Madras",,1977,,,,491.433,125,9,,,,08-10-1992
67,Tom Brown's School Days,,Thomas Hughes,,,"Orient Longman Ltd. Anna Salai,Madras",,1974,,,,491.433,116,7,,,,08-10-1992
68,The Adventure of Tom Sawyer,,Mark Twain,,,"Orient Longman Ltd. Asaf Ali Road,Delhi",,1974,,,,491.433,85,7,,,,08-10-1992
69,Tales of Ancient India,,Shanta Rao,,,"Orient Longman Ltd. Asaf Ali Road,Delhi",,1976,,,,491.433,64,7,,,,08-10-1992
70,Tell  me More book 6,,Ratna Sagar,,,"Ratna Sagar Pvt. Ltd. Virat Bhawan,Delhi",,1984,,,,491.433,64,12.9,,,,08-10-1992
71,The Story Teller V,,Pratibha Nath,,,"Frank Bros. & Company Pvt. Ltd. Darya Ganj,Delhi",,1981,,,,491.433,86,10.5,,,,08-10-1992
72,The Story Teller V,,Pratibha Nath,,,"Frank Bros. & Company Pvt. Ltd. Darya Ganj,Delhi",,1981,,,,491.433,86,6.5,,,,08-10-1992
73,English Reader III,,J.P.H,,,"Jivan Publishing House,New Delhi",,1981,,,,491.433,146,12,,,,08-10-1992
74,English Reader II,,J.P.H,,,"Jivan Publishing House,New Delhi",,1981,,,,491.433,88,12,,,,08-10-1992
75,New Style Short Questions Bio.,,M.B.O,,,Malhotra Book Depot.,,1981,,,,570,119,5.7,,,,08-10-1992
76,Gulliver's Travels,,Jonathan Swift,,,"Orient Longman Ltd. Anna Salai,Madras",,1977,,,,491.433,100,7.5,,,,11-07-1992
77,Moby Dick,,Herman Melville,,,"Orient Longman Ltd. Anna Salai,Madras",,1988,,,,491.433,112,9,,,,11-07-1992
78,A Tale of Two Cities,,Charles Dickens,,,"Orient Longman Ltd. Asaf Ali Road,Delhi",,1989,,,,491.433,101,10,,,,11-07-1992
79,Four Stories from Shekespeare,,Raja Ram Rao,,,"Orient Longman Ltd. Anna Salai,Madras",,1987,,,,491.433,96,8,,,,11-07-1992
80,The Adventure of Huck. Finn,,Mark Twain,,,"Orient Longman Ltd. Anna Salai,Madras",,1986,,,,491.433,104,7.5,,,,11-07-1992
81,Night of the Leopard,,Ruskin Bond,,,The Student Stores,,1986,,,,491.433,86,8,,,,11-07-1992
82,Graded Eng. Grammer & Comp.,,Mendonza,,," Scholar Publishing House,New Delhi",,1976,,,,491.425,88,4.25,,,,11-07-1992
83,Modern English Grammmer II,,B.D. Sharma,,,Ghanshyam Das Soni Pub. Rohtak,,1976,,,,491.425,76,8,,,,11-07-1992
84,English Translation,,Usha Sharma,,,"Aggarwal Publication C.C. Colony,New Delhi",,1976,,,,491.425,50,5.75,,,,11-07-1992
85,Everyday English Workbook IV,,N.K. Aggarwal,,,S.G. Wasani for Macmillian India Limited,,1988,,,,491.425,48,12,,,,11-07-1992
86, Practical English Composition book-I,,Vimal Sharma,,,"Scholar Publishing House,New Delhi",,1988,,,,491.425,40,6,,,,11-07-1992
87,Junior English Grammer-I,,Publisher,,,"Sultan Chand & Company,Ram Nagar,Delhi",,1988,,,,491.425,22,4.5,,,,11-07-1992
88,Easy Way to Grammer-II,,Ambika Arvind,,,"Sultan Chand & Company,Ram Nagar,Delhi",,1989,,,,491.425,48,6.5,,,,11-07-1992
89,Practical English Composition-III,,Vimal Sharma,,,Scholar Publishing House,,1989,,,,491.425,64,7.5,,,,11-07-1992
90,Modern English Grammer-II,,Malkiat Singh,,,"Orient Longman Ltd. Anna Salai,Madras",,1984,,,,491.425,111,6,,,,11-07-1992
91,Grammer Practice for Int. Students,,E. Walker,,,"Orient Longman Ltd. Anna Salai,Madras",,1987,,,,491.425,176,16,,,,11-07-1992
92,Comp. & Gen. English,,J.P.H,,,Jiwan Publishing House Pvt. Ltd.,,1987,,,,491.425,80,9,,,,11-07-1992
93,Graded Pictorial Grammmer,,R.L. Bhatia,,,"Arya Publishing House,New Delhi",,1990,,,,491.425,124,6,,,,11-07-1992
94,Modern English Grammer,,Malkiat Singh,,,"Orient Longman Ltd.,Calcutta",,1979,,,,491.425,91,10,,,,11-07-1992
95,Using Grammer,,J.A. Mason,,,"Oxford University Press, Madras",,1989,,,,491.425,68,10,,,,11-07-1992
96,Beginners English Gramer-III,,K. Cooper,,,Sultan Chand & Company Ltd. New delhi,,1989,,,,491.425,82,6,,,,11-07-1992
97,Easy Steps to Grammer & Composition-I,,N.D.V. Rao,,,"Sultan Chand & Company,Ram Nagar,Delhi",,1987,,,,491.425,58,5,,,,11-07-1992
98,Grade Pictorial Grammmer,,R.L. Bhatia,,,"Arya Publishing House,New Delhi",,1988,,,,491.425,100,6,,,,11-07-1992
99,Elementary Eng. Grammer & Composition,,N.K. Aggarwal,,,"Goel Brothers Prakashan,New delhi",,1991,,,,491.425,128,13,,,,11-07-1992
100,Adarsh General Book-III,,K.L. Luthra,,,"Adarsh Prakashan,Shahdara,Delhi",,1986,,,,491.433,44,7,,,,11-07-1992
101,Adarsh General Book-II,,K.L. Luthra,,,"Adarsh Prakashan,Shahdara,Delhi",,1988,,,,491.431,176,12.5,,,,11-07-1992
102,Easy Steps to Grammer & Composition,,N.D.V. Rao,,,"S.Chand & Co. Ltd.,Ram Nagar,Delhi",,1987,,,,491.423,74,6,,,,11-07-1992
103,Let's Learn Eng. Grammer & Composition,,S.S. Bhatia,,,"Arti Prakashan Lajpat Nagar,Delhi",,1987,,,,491.423,166,16,,,,11-07-1992
104,Easy Steps to Grammer & Composition-VI,,N.D.V. Rao,,,"Sultan Chand & Company,Ram Nagar,Delhi",,1987,,,,491.423,105,8,,,,11-07-1992
105,The Simpler Parts of Speech,,P.C. Wren,,,"Sultan Chand & Company,Ram Nagar,Delhi",,1987,,,,491.423,68,7,,,,11-07-1992
106,English Grammer and Composition for Learners,,L.R. Sachdeva,,,"Saraswati House,Chawri Bazar,Delhi",,1991,,,,491.423,144,12,,,,11-07-1992
107,English Grammer and Composition for Learners,,L.R. Sachdeva,,,"Saraswati House,Chawri Bazar,Delhi",,1992,,,,491.423,220,18,,,,11-07-1992
108,English Grammer and Composition for Learners,,L.R. Sachdeva,,,"Saraswati House,Chawri Bazar,Delhi",,1992,,,,491.423,272,18,,,,11-07-1992
109,Graded Pictorial Grammmer,,R.L. Bhatia,,,"Arya Publishing House,Karol Bagh,Delhi",,1990,,,,491.423,100,7,,,,11-07-1992
110,Graded Pictorial Grammmer,,R.L. Bhatia,,,"Arya Publishing House,Karol Bagh,Delhi",,1986,,,,491.423,100,7,,,,11-07-1992
111,Top Impressive Letters,,S.K. Kwatra,,,"Gaurav Publishing House,Pahar Ganj,Delhi",,1986,,,,491.423,240,24,,,,11-07-1992
112,The Beginners English Grammer,,P.C. Wren,,,"Sultan Chand & Company,Ram Nagar,Delhi",,1983,,,,491.423,98,3.5,,,,11-07-1992
113,Writer Grammer-IV,,D.K. Swan,,,"Orient Longman Ltd. Asaf Ali Road,Delhi",,1976,,,,491.423,102,13.5,,,,11-07-1992
114,First Lesson in English Grammer,,P.C. Wren,,,"Sultan Chand & Company Pvt. Ltd.,Ram NagarNew Delhi",,1978,,,,491.423,60,1.5,,,,11-07-1992
115,A New Middle Standard English Translation,,Publisher,,,"Pitamber Publishing Company,Karol Bagh,Delhi",,1987,,,,491.423,92,6,,,,11-07-1992
116,Model School Essays and Stories,,Pragati Saxena,,,"Book Place,Ramesh Nagar,Delhi",,1987,,,,491.423,204,25,,,,11-07-1992
117,A New Middle Standard English Translation,,Publisher,,,"Pitamber Publishing Depot,Karol Bagh,Delhi",,1987,,,,491.423,79,3,,,,11-07-1992
118,Social Studies for Juniors-II,,B.David,,,"Inter University Press Pvt. Ltd.,Delhi",,1990,,,,900,154,20,,,,11-07-1992
119,A New Approach to Social Studies-V,,Publisher,,,"Pearl Publishing House Dev.,New Delhi",,1990,,,,954,144,19,,,,11-07-1992
120,History of India -IIH,,N.N. Kher,,,"Pitamber Publication Company,Karol Bagh,Delhi",,1990,,,,320,127,20,,,,11-07-1992
121,Social Study Today-V,,R.L. Kharbanda,,,"Sultan Chand & Company,Ram Nagar,Delhi",,1980,,,,320.954,132,7.5,,,,11-07-1992
122,Steps to Social Studies-IV,,S. David,,,"Arya Publishing Depot,Karol Bagh,Delhi",,1988,,,,320.954,163,12,,,,11-07-1992
123,Steps to Social Studies-II,,Publisher,,,"Arya Publishing Depot,Karol Bagh,Delhi",,1987,,,,320.954,88,9,,,,11-07-1992
124,Steps to Social Studies-V,,S. David,,,"Arya Publishing Depot,Karol Bagh,Delhi",,1989,,,,320.954,157,15,,,,11-07-1992
125,Steps to Social Studies-III,,S. David,,,"Arya Publishing Depot,Karol Bagh,Delhi",,1986,,,,320.954,160,12,,,,11-07-1992
126,A New Approach to Social Studies-IV,,Publisher,,,"Pearl Publishing House Pvt. Ltd.,New Delhi",,1986,,,,300,144,18,,,,14-01-1993
127,New World Social Studies-V,,Neil Gardner,,,"Oxford University Press, Delhi",,1990,,,,300,158,35,,,,14-01-1993
128,Social Studies for Juniors-II,,B. David,,,"Inter University Press Pvt. Ltd.,Shakti Nagar",,1987,,,,300,108,8.5,,,,14-01-1993
129,Modern Geography-II,,J.K. Bhatnagar,,,"Pitamber Publication Company,Karol Bagh,Delhi",,1988,,,,300,144,18.5,,,,14-01-1993
130,The Earth and its people-III,,Leela Sachdev,,,"S.G. Wasani for Macmillian India Limited,Madras",,1988,,,,300,134,25,,,,14-01-1993
131,The Earth and its people-II,,Leela Sachdev,,,"S.G. Wasani for Macmillian India Limited,Madras",,1988,,,,300,112,25,,,,14-01-1993
132,The World Around Us,,Virendra Verma,,,"Amber Prakashan,Karol Bagh,Delhi",,1980,,,,300,79,6,,,,14-01-1993
133,The Earth and its people-I,,S. Jeet,,,S.G. Wasani for Macmillian India Press,,1990,,,,300,113,25,,,,14-01-1993
134,Co-operation and Civics Sense-I,,Anita Devraj,,,"Sultan Chand & Sons,Darya Ganj,Delhi",,1991,,,,300,63,13.75,,,,14-01-1993
135,History and Civics-I,,J.C. Aggarwal,,,"Sultan Chand & Company Ltd,Asaf Ali Road,Delhi",,1985,,,,300,63,15,,,,14-01-1993
136,Our Environment Social Studies-V,,S.L. Dhawan,,,"Pitamber Publication Company,Karol Bagh,Delhi",,1983,,,,300,145,12,,,,14-01-1993
137,Our Environment Social Studies-I,,S.L. Dhawan,,,"Pitamber Publication Company,Karol Bagh,Delhi",,1983,,,,300,160,13.5,,,,14-01-1993
138,Maconillian Physics,,S. Sreekanth,,,"S.G. Wasani for Macmillian India Press,Madras",,1990,,,,500,81,17,,,,14-01-1993
139,Science Today,,B. K. Gowel,,,"Sultan Chand & Company Ltd,Asaf Ali Road,Delhi",,1990,,,,530,250,25,,,,14-01-1993
140,Learning Science,,K. K. Mohindroo,,,"Amber Prakashan,Karol Bagh,Delhi",,1987,,,,530,154,16,,,,14-01-1993
141,Progressive Science,,S. John,,,"Three Star Publication,Sita Ram Bazar,Delhi",,1989,,,,530,88,17.5,,,,14-01-1993
142,Chemistry,,D.N. Verma,,,Orient Longman Delhi,,1990,,,,540,55,12,,,,14-01-1993
143,Physics,,Aruna Ummat,,,Orient Longman Delhi,,1990,,,,530,51,13,,,,14-01-1993
144,Active Science,,Wishva Mitter,,,"Inter University Press,Shakti Nagar,Delhi",,1990,,,,500,47,10.5,,,,14-01-1993
145,Living Science,,Ratna Sagar,,,"Ratna Sagar Pvt. Ltd.,Delhi",,,,,,500,64,12.9,,,,14-01-1993
146,The World of Science-III,,C.V. Hammond,,,"Pearl Publishing House,New Delhi",,,,,,500,128,15.5,,,,14-01-1993
147,Biology,,V.K. Sharma,,,"Sultan Chand & Sons Pvt. Ltd.,Darya Ganj,Delhi",,1990,,,,570,84,15,,,,14-01-1993
148,Invention in Science,,A.K. Sharma,,,"Vidhya Prakashan Mandir,Meerut",,,,,,500,84,15,,,,14-01-1993
149,Progressive Science,,S. John,,,"Three Star Publication,Delhi",,1989,,,,500,120,23.5,,,,14-01-1993
150,General Science,,S.C. Maheshwari,,,"Arya Book Depot.,Delhi",,1990,,,,500,132,21.5,,,,14-01-1993
151,Physics and Basic Science-I,,S.M. Bhatnagar,,,"Pitamber Publication Company,Karol Bagh,Delhi",,1987,,,,530,100,9.5,,,,14-01-1993
152,Active Science for Juniors,,Wishva Mitter,,,"I.V.P. Publication,Shakti Nagar,Delhi",,1990,,,,500,114,12.5,,,,14-01-1993
153,Abhyas Bharti Nayi Kiran-II,,Shashi Kumar Sharma,,,"Frank Brothers & Company,Darya Ganj,Delhi",,1988,,,,891.431,74,9,,,,14-01-1993
154,Nayi Kiran Abhyas Bharti-II,,Shashi Kumar Sharma,,,"Frank Brothers & Company,Darya Ganj,Delhi",,1988,,,,891.431,74,11.9,,,,14-01-1993
155,Amit Hindi Rachna-VI,,T.D. Anand,,,"Amit Prakashan Lajpat Nagar,Delhi",,,,,,891.431,60,10,,,,14-01-1993
156,Hindi Rachna-V,,J.P.H,,,"Jiwan Publishing House Pvt. Ltd.,Delhi",,,,,,891.425,30,6,,,,14-01-1993
157,Hindi Rachna-II,,Urmila Mediratta,,,"Jiwan Publishing House Pvt. Ltd.,Delhi",,,,,,891.425,30,6,,,,14-01-1993
158,Hindi Vyakran and Hindi Rachna-II,,Smt. Raman Mittal,,,"Frank Brothers & Company,Ansari Road Darya Ganj,Delhi",,1989,,,,891.425,84,15.9,,,,14-01-1993
159,Preeti Navin Hindi Rachna-II,,Publisher,,,"Shri Ram Brothers & Company,Darya Ganj,Delhi",,,,,,891.425,,7.5,,,,14-01-1993
160,Anupam Hindi Rachna-III,,Santosh Taneja,,,"Sultan Chand & Sons,Delhi",,,,,,891.425,40,5,,,,14-01-1993
161,Anupam Hindi Rachna-III,,Santosh Taneja,,,"Sultan Chand & Sons,Delhi",,,,,,891.425,40,5,,,,14-01-1993
162,Aao Seekhen-IV,,Pramod Randev,,,"Schemco Enterprises,Model Basti,New Delhi",,,,,,891.425,48,5,,,,14-01-1993
163,Amit Hindi Rachna-IV,,T.D. Anand,,,"Amit Prakashan Lajpat Nagar,Delhi",,,,,,891.425,48,7.5,,,,14-01-1993
164,Nutan Saral Hindi Mala-II,,Shri Ram Bhatt,,,"Goel Brothers Prakashan,PaharGanj,New delhi",,1991,,,,891.431,43,9.5,,,,14-01-1993
165,Nutan Saral Hindi Mala-III,,Shri Ram Bhatt,,,"Goel Brothers Prakashan,PaharGanj,New delhi",,1991,,,,891.431,46,10,,,,14-01-1993
166,Nutan Saral Hindi Mala-I,,Shri Ram Bhatt,,,"Goel Brothers Prakashan,PaharGanj,New delhi",,1991,,,,891.431,36,8.5,,,,14-01-1993
167,Amit Hindi Rachna-II,,T.D. Anand,,,"Amit Prakashan Lajpat Nagar,Delhi",,1991,,,,891.431,40,6.5,,,,14-01-1993
168,Navin Bharti-IV,,Ganga Dutt Sharma,,,"Asha Prakashan Grah,Karol Bagh,Delhi",,1989,,,,891.431,132,13,,,,14-01-1993
169,Navin Bharti-VI,,Ganga Dutt Sharma,,,"Asha Prakashan Grah,Karol Bagh,Delhi",,1988,,,,891.431,160,12,,,,14-01-1993
170,Navin Bharti-VI,,Ganga Dutt Sharma,,,"Asha Prakashan Grah,Karol Bagh,Delhi",,1990,,,,891.431,132,15,,,,14-01-1993
171,Navin Bharti-VII,,Ganga Dutt Sharma,,,"Asha Prakashan Grah,Karol Bagh,Delhi",,1989,,,,891.431,140,15,,,,14-01-1993
172,Navin Bharti-VIII,,Ganga Dutt Sharma,,,"Asha Prakashan Grah,Karol Bagh,Delhi",,1989,,,,891.431,156,15,,,,14-01-1993
173,Navin Bharti-II,,Ganga Dutt Sharma,,,"Asha Prakashan Grah,Karol Bagh,Delhi",,1988,,,,891.431,84,8,,,,14-01-1993
174,Nutan Saral Hindi Mala-IV,,Shri Ram Bhatt,,,Goel Brothers Prakashan,,1991,,,,891.431,96,20,,,,14-01-1993
175,Baal Bodh-IV,,Kamal Satyarthi,,,"Arti Prakashan Lajpat Nagar,Delhi",,,,,,891.431,128,14,,,,14-01-1993
176,Anupam Bharti-IV,,Shankar Sultanpuri,,,"S.Chand & Co. Ltd.,Asaf Ali Road,Delhi",,1990,,,,891.431,106,15,,,,20-09-1993
177,Saras Hindi-III,,Yogeshwar Dev,,,"Holy Faith International,Bahadur Shah Zafar Marg",,,,,,891.431,100,16,,,,20-09-1993
178,Saras Hindi-IV,,Yogeshwar Dev,,,"Holy Faith International,Bahadur Shah Zafar Marg",,,,,,891.431,106,19.9,,,,20-09-1993
179,Saras Hindi-IV,,Yogeshwar Dev,,,"Holy Faith International,Bahadur Shah Zafar Marg",,,,,,891.431,111,17.9,,,,20-09-1993
180,Saras Hindi-II,,Yogeshwar Dev,,,"Holy Faith International,Bahadur Shah Zafar Marg",,,,,,891.431,94,16.9,,,,20-09-1993
181,Anupam Bharti-I,,Shankar Sultanpuri,,,"S.Chand & Co. ,Asaf Ali Road,Delhi",,1990,,,,891.431,76,11,,,,20-09-1993
182,Saras Hindi-I,,Yogeshwar Dev,,,"Holy Faith International,Bahadur Shah Zafar Marg",,,,,,891.431,117,16,,,,20-09-1993
183,Amaltaas-IV,,Ganga Dutt Sharma,,,"Orient Longman,Asaf Ali Road,Delhi",,1991,,,,891.431,134,19,,,,20-09-1993
184,Nayi Kiran-II,,Shashi Kumar Sharma,,,"Frank Brothers & Company,Darya Ganj,Delhi",,1990,,,,891.431,72,16.75,,,,20-09-1993
185,Nayi Kiran-III,,Shashi Kumar Sharma,,,"Frank Brothers & Company,Darya Ganj,Delhi",,1988,,,,891.431,100,12.5,,,,20-09-1993
186,Creative Saras Bharti-V,,ChandraMoli Prasad,,,"Creative Publisher Gulab Bhawan,Delhi",,,,,,891.431,92,11,,,,20-09-1993
187,Creative Saras Bharti-III,,ChandraMoli Prasad,,,"Creative Publisher Gulab Bhawan,Delhi",,,,,,891.431,76,10,,,,20-09-1993
188,Creative Saras Bharti-IV,,ChandraMoli Prasad,,,"Creative Publisher Gulab Bhawan,Delhi",,,,,,891.431,84,10,,,,20-09-1993
189,Saras Hindi-V,,Yogeshwar Dev,,,"Holy Faith International,Bahadur Shah Zafar Marg,Delhi",,,,,,891.431,135,18.9,,,,20-09-1993
190,Saras Hindi-VIII,,Yogeshwar Dev,,,"Holy Faith International,Bahadur Shah Zafar Marg,Delhi",,,,,,891.431,172,18.9,,,,20-09-1993
191,Nayi Kiran-II,,Shashi Kumar Sharma,,,"Frank Brothers & Company,Darya Ganj,Delhi",,1989,,,,891.431,72,14.5,,,,20-09-1993
